text,intent,sentiment,country,product_group,plan,customer_type,priority,amount_billed,satisfaction_score
I was charged $X instead of $Y for ZENDCloud VM Basic.,Billing,Neutral,India,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Priority,213.17,3
What features does ZENDEnterprise Dedicated offer?,Information Query,Happy,Thailand,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,467.9,5
Need help fixing my ZENDOffice Net 200 service.,Technical Support,Satisfied,India,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,192.28,4
What are the costs to move from ZENDFiber Home 300 Mbps to premium?,Plan Upgrade,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 300 Mbps,Individual,Enterprise,89.42,3
I want to upgrade my Prepaid Plus 20GB plan.,Plan Upgrade,Neutral,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Enterprise,Enterprise,115.9,3
What features does ZENDBiz Connect 100 offer?,Information Query,Neutral,Singapore,Business Connectivity,ZENDBiz Connect 100,Enterprise,Enterprise,464.53,3
I am not happy with my ZENDCloud VM Basic service.,Complaint,Angry,India,Cloud & Data Center Services,ZENDCloud VM Basic,Individual,Standard,183.37,1
I was charged $X instead of $Y for ZENDOffice Net 1G.,Billing,Satisfied,USA,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Enterprise,77.94,4
Requesting refund for ZENDCloud VM Enterprise.,Refund,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Enterprise,Individual,Enterprise,73.73,3
I am not happy with my Postpaid Platinum Unlimited service.,Complaint,Satisfied,India,Mobile Connectivity,Postpaid Platinum Unlimited,Individual,Enterprise,43.06,4
I want a refund for Prepaid Basic 5GB subscription.,Refund,Satisfied,India,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Enterprise,80.28,4
Complaint regarding ZENDFiber Home 1 Gbps.,Complaint,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Priority,129.62,1
My billing amount for ZENDBiz Connect 100 seems incorrect.,Billing,Angry,Singapore,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,277.55,1
Can you send me my last 2 invoices for ZENDOffice Net 200?,Billing,Neutral,USA,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,31.49,3
I want to upgrade my ZENDEnterprise Ultra plan.,Plan Upgrade,Happy,USA,Business Connectivity,ZENDEnterprise Ultra,Enterprise,Standard,193.48,5
Please terminate my ZENDFiber Home 100 Mbps plan.,Cancellation,Angry,India,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Standard,139.2,1
Please terminate my ZENDFiber Home 100 Mbps plan.,Cancellation,Neutral,Singapore,Home & Office Internet,ZENDFiber Home 100 Mbps,Enterprise,Standard,185.21,3
What features does ZENDOffice Net 200 offer?,Information Query,Angry,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,188.49,1
Can you send me my last 2 invoices for Postpaid Silver 50GB?,Billing,Happy,USA,Mobile Connectivity,Postpaid Silver 50GB,Individual,Priority,24.9,5
I want to cancel my ZENDCloud VM Pro subscription.,Cancellation,Neutral,Singapore,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Standard,133.32,3
My billing amount for ZENDFleet IoT seems incorrect.,Billing,Angry,India,IoT & Smart Solutions,ZENDFleet IoT,Individual,Enterprise,198.38,1
What features does ZENDFiber Home 1 Gbps offer?,Information Query,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Individual,Standard,66.02,1
Please terminate my ZENDOffice Net 200 plan.,Cancellation,Satisfied,USA,Home & Office Internet,ZENDOffice Net 200,Enterprise,Priority,85.06,4
Can you send me my last 2 invoices for ZENDSmart Parking?,Billing,Satisfied,Singapore,IoT & Smart Solutions,ZENDSmart Parking,Individual,Priority,293.46,4
I want to cancel my ZENDBiz Connect 100 subscription.,Cancellation,Happy,USA,Business Connectivity,ZENDBiz Connect 100,Individual,Standard,164.65,5
I am facing issues with ZENDOffice Net 200.,Technical Support,Happy,India,Home & Office Internet,ZENDOffice Net 200,Individual,Enterprise,85.51,5
Need help fixing my Prepaid Unlimited service.,Technical Support,Happy,India,Mobile Connectivity,Prepaid Unlimited,Individual,Enterprise,64.42,5
Need help fixing my ZENDEnterprise Dedicated service.,Technical Support,Neutral,USA,Business Connectivity,ZENDEnterprise Dedicated,Enterprise,Priority,234.53,3
My billing amount for ZENDSmart Parking seems incorrect.,Billing,Happy,USA,IoT & Smart Solutions,ZENDSmart Parking,Enterprise,Enterprise,152.34,5
I am not happy with my Postpaid Gold 100GB service.,Complaint,Angry,USA,Mobile Connectivity,Postpaid Gold 100GB,Individual,Enterprise,124.22,1
How do I claim a refund if I used less than 10% of ZENDCloud VM Pro?,Refund,Angry,Thailand,Cloud & Data Center Services,ZENDCloud VM Pro,Individual,Enterprise,21.18,1
Need details about ZENDOffice Net 200.,Information Query,Satisfied,Singapore,Home & Office Internet,ZENDOffice Net 200,Individual,Standard,176.68,4
Need help fixing my ZENDBiz Connect 100 service.,Technical Support,Satisfied,India,Business Connectivity,ZENDBiz Connect 100,Enterprise,Priority,211.28,4
How do I claim a refund if I used less than 10% of ZENDEnterprise Dedicated?,Refund,Satisfied,India,Business Connectivity,ZENDEnterprise Dedicated,Individual,Priority,378.18,4
I am facing issues with Prepaid Unlimited.,Technical Support,Neutral,India,Mobile Connectivity,Prepaid Unlimited,Enterprise,Enterprise,110.42,3
How much does ZENDSmart Lighting cost in my country?,Information Query,Neutral,India,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Enterprise,204.26,3
How much does ZENDIndustrial Sensor cost in my country?,Information Query,Happy,India,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Priority,78.72,5
I want to cancel my Prepaid Basic 5GB subscription.,Cancellation,Happy,India,Mobile Connectivity,Prepaid Basic 5GB,Enterprise,Standard,37.18,5
How do I stop ZENDSmart Lighting service?,Cancellation,Neutral,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Priority,365.1,3
My Postpaid Silver 50GB is not working properly.,Technical Support,Neutral,Singapore,Mobile Connectivity,Postpaid Silver 50GB,Individual,Enterprise,71.92,3
Complaint regarding ZENDFleet IoT.,Complaint,Happy,USA,IoT & Smart Solutions,ZENDFleet IoT,Individual,Priority,364.62,5
I want a refund for ZENDSmart Lighting subscription.,Refund,Angry,USA,IoT & Smart Solutions,ZENDSmart Lighting,Enterprise,Priority,332.36,1
I am not happy with my Prepaid Plus 20GB service.,Complaint,Satisfied,Thailand,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,146.32,4
My billing amount for ZENDFiber Home 300 Mbps seems incorrect.,Billing,Satisfied,Thailand,Home & Office Internet,ZENDFiber Home 300 Mbps,Enterprise,Enterprise,132.93,4
Can I upgrade from ZENDSmart Lighting to a higher plan?,Plan Upgrade,Happy,India,IoT & Smart Solutions,ZENDSmart Lighting,Individual,Standard,262.09,5
Please terminate my Prepaid Plus 20GB plan.,Cancellation,Neutral,USA,Mobile Connectivity,Prepaid Plus 20GB,Individual,Enterprise,103.83,3
My ZENDCloud VM Basic is not working properly.,Technical Support,Happy,Thailand,Cloud & Data Center Services,ZENDCloud VM Basic,Enterprise,Enterprise,289.62,5
Need details about ZENDSmart Traffic.,Information Query,Angry,USA,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Enterprise,308.16,1
I was charged $X instead of $Y for Postpaid Platinum Unlimited.,Billing,Happy,USA,Mobile Connectivity,Postpaid Platinum Unlimited,Enterprise,Enterprise,137.98,5
I am not happy with my ZENDSmart Traffic service.,Complaint,Neutral,India,IoT & Smart Solutions,ZENDSmart Traffic,Individual,Priority,233.51,3
How do I claim a refund if I used less than 10% of ZENDFiber Home 1 Gbps?,Refund,Angry,Singapore,Home & Office Internet,ZENDFiber Home 1 Gbps,Enterprise,Enterprise,181.41,1
I was charged $X instead of $Y for ZENDFiber Home 100 Mbps.,Billing,Neutral,USA,Home & Office Internet,ZENDFiber Home 100 Mbps,Individual,Standard,88.31,3
I want to cancel my ZENDOffice Net 1G subscription.,Cancellation,Happy,India,Home & Office Internet,ZENDOffice Net 1G,Enterprise,Standard,165.28,5
I want to cancel my ZENDIndustrial Sensor subscription.,Cancellation,Satisfied,Thailand,IoT & Smart Solutions,ZENDIndustrial Sensor,Individual,Enterprise,225.15,4
My ZENDStorage 10TB is not working properly.,Technical Support,Angry,Thailand,Cloud & Data Center Services,ZENDStorage 10TB,Enterprise,Standard,190.48,1
I want to cancel my ZENDBiz Connect 500 subscription.,Cancellation,Angry,Singapore,Business Connectivity,ZENDBiz Connect 500,Individual,Priority,354.59,1
