text,intent,sentiment,product,plan,country,user_type
Please process a refund for prepaid basic,refund,negative,mobile,prepaid basic,Thailand,individual
Why was I charged 45 for my storage 10tb?,billing,negative,cloud,storage 10tb,USA,enterprise
"I was billed 88 for postpaid silver, can you explain?",billing,negative,mobile,postpaid silver,Thailand,enterprise
Can you switch my plan to storage 10tb?,plan_change,positive,cloud,storage 10tb,Thailand,enterprise
Please process a refund for vm basic,refund,negative,cloud,vm basic,India,enterprise
"My bill shows 3869 for smart parking, why is that?",billing,negative,iot,smart parking,India,enterprise
Upgrade my current plan to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,India,enterprise
Can I get a refund for vm pro?,refund,negative,cloud,vm pro,USA,enterprise
Why is my smart parking bill 212?,billing,negative,iot,smart parking,Singapore,enterprise
I am facing issues with my fiber 1gbps,technical_support,neutral,broadband,fiber 1gbps,Singapore,individual
There is a problem with my cloud service,technical_support,negative,cloud,storage 1tb,Thailand,enterprise
My mobile service is not working properly,technical_support,negative,mobile,prepaid plus,Singapore,enterprise
My fleet iot is not functioning correctly,technical_support,negative,iot,fleet iot,Thailand,individual
I want to change my plan to smart traffic,plan_change,neutral,iot,smart traffic,Thailand,enterprise
Why was I charged 34 for my fiber 100?,billing,neutral,broadband,fiber 100,Singapore,enterprise
Please upgrade me to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,Thailand,individual
Why was I charged 123 for my storage 10tb?,billing,negative,cloud,storage 10tb,Singapore,individual
There is a problem with my cloud service,technical_support,negative,cloud,storage 1tb,USA,individual
Can you switch my plan to prepaid unlimited?,plan_change,positive,mobile,prepaid unlimited,Singapore,enterprise
Upgrade my current plan to fiber 1gbps,upgrade,positive,broadband,fiber 1gbps,India,enterprise
Please upgrade me to postpaid gold,upgrade,positive,mobile,postpaid gold,India,individual
There is an unexpected charge of 23 for fiber 300,billing,negative,broadband,fiber 300,USA,individual
I want to upgrade my plan to fiber 300,upgrade,positive,broadband,fiber 300,India,individual
My vm basic is not functioning correctly,technical_support,neutral,cloud,vm basic,Thailand,enterprise
There is an unexpected charge of 185 for prepaid plus,billing,negative,mobile,prepaid plus,USA,individual
I want a refund for my vm pro,refund,negative,cloud,vm pro,Thailand,individual
Can you move me to smart parking?,upgrade,positive,iot,smart parking,India,enterprise
I would like to switch to prepaid plus,upgrade,positive,mobile,prepaid plus,USA,individual
Can you move me to fiber 1gbps?,upgrade,positive,broadband,fiber 1gbps,Thailand,individual
Is refund possible for smart parking?,refund,negative,iot,smart parking,USA,individual
I want to change my plan to fiber 300,plan_change,positive,broadband,fiber 300,USA,individual
The broadband connection is very slow,technical_support,neutral,broadband,fiber 300,Thailand,individual
The cloud connection is very slow,technical_support,negative,cloud,vm enterprise,USA,individual
I need my money back for fiber 1gbps,refund,negative,broadband,fiber 1gbps,Singapore,enterprise
I want a refund for my postpaid silver,refund,negative,mobile,postpaid silver,Thailand,individual
I want to change my plan to vm enterprise,plan_change,positive,cloud,vm enterprise,Thailand,individual
Why is my fiber 100 bill 5812?,billing,negative,broadband,fiber 100,India,enterprise
Please change my current plan to storage 10tb,plan_change,neutral,cloud,storage 10tb,Singapore,enterprise
Please upgrade me to vm enterprise,upgrade,positive,cloud,vm enterprise,India,enterprise
Help me change to vm enterprise,plan_change,positive,cloud,vm enterprise,USA,individual
Why is my fiber 1gbps bill 24?,billing,negative,broadband,fiber 1gbps,Thailand,individual
Is refund possible for storage 1tb?,refund,negative,cloud,storage 1tb,India,individual
I am facing issues with my postpaid platinum,technical_support,neutral,mobile,postpaid platinum,Singapore,individual
There is an unexpected charge of 95 for storage 1tb,billing,negative,cloud,storage 1tb,Singapore,enterprise
I am facing issues with my fleet iot,technical_support,negative,iot,fleet iot,USA,individual
