text,intent,sentiment,product,plan,country,user_type
can i get a refund for fiber 300,refund,negative,broadband,fiber 300,India,individual
is refund possible for vm enterprise,refund,negative,cloud,vm enterprise,India,enterprise
i need my money back for postpaid silver,refund,negative,mobile,postpaid silver,USA,enterprise
can i get a refund for smart traffic,refund,negative,iot,smart traffic,USA,individual
i want a refund for my fiber 100,refund,negative,broadband,fiber 100,Singapore,individual
i need my money back for vm basic,refund,negative,cloud,vm basic,USA,enterprise
is refund possible for fleet iot,refund,negative,iot,fleet iot,USA,individual
i need my money back for vm basic,refund,negative,cloud,vm basic,USA,enterprise
can i get a refund for smart traffic,refund,negative,iot,smart traffic,Singapore,enterprise
is refund possible for storage 10tb,refund,negative,cloud,storage 10tb,Thailand,enterprise
i want a refund for my storage 1tb,refund,negative,cloud,storage 1tb,Singapore,individual
is refund possible for smart parking,refund,negative,iot,smart parking,India,individual
i need my money back for fiber 100,refund,negative,broadband,fiber 100,USA,individual
is refund possible for storage 10tb,refund,negative,cloud,storage 10tb,India,enterprise
can i get a refund for storage 10tb,refund,negative,cloud,storage 10tb,Thailand,enterprise
i want a refund for my vm basic,refund,negative,cloud,vm basic,India,individual
i want a refund for my storage 1tb,refund,negative,cloud,storage 1tb,Singapore,individual
please process a refund for vm enterprise,refund,negative,cloud,vm enterprise,USA,enterprise
i need my money back for fleet iot,refund,negative,iot,fleet iot,India,enterprise
i need my money back for smart parking,refund,negative,iot,smart parking,India,enterprise
is refund possible for fiber 100,refund,negative,broadband,fiber 100,Thailand,individual
can i get a refund for smart traffic,refund,negative,iot,smart traffic,Thailand,enterprise
i need my money back for fiber 100,refund,negative,broadband,fiber 100,India,enterprise
i demand my money back for fiber 300,refund,negative,broadband,fiber 300,Thailand,individual
is refund possible for prepaid plus,refund,negative,mobile,prepaid plus,USA,enterprise
i need my money back for vm basic,refund,negative,cloud,vm basic,India,individual
please process a refund for vm basic,refund,negative,cloud,vm basic,India,enterprise
i need my money back for postpaid gold,refund,negative,mobile,postpaid gold,India,enterprise
iodine want a refund for my postpaid silver,refund,negative,mobile,postpaid silver,Singapore,enterprise
i wanta refund for my postpaid silver,refund,negative,mobile,postpaid silver,Thailand,individual
i want a refund for my postpaid platinum,refund,negative,mobile,postpaid platinum,Singapore,enterprise
i want a refund for my prepaid plus,refund,negative,mobile,prepaid plus,Singapore,enterprise
plaese process arefund for prepay unlimited,refund,negative,mobile,prepaid unlimited,Singapore,individual
i want a refund for my storage 1tb,refund,negative,cloud,storage 1tb,Singapore,individual
please process a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,USA,enterprise
i need my money abck for fiber 300,refund,negative,broadband,fiber 300,USA,individual
can i get a refund for fleet iot,refund,negative,iot,fleet iot,Thailand,individual
can iodine get a refudn for fiber 300,refund,negative,broadband,fiber 300,India,individual
please process a refund for prepaid basic,refund,negative,mobile,prepaid basic,India,individual
please process a refund for vm basic,refund,negative,cloud,vm basic,India,enterprise
is refund possible for smart parking,refund,negative,iot,smart parking,India,individual
please process a refund for vm basic,refund,negative,cloud,vm basic,India,enterprise
is refund possible for vm enterprise,refund,negative,cloud,vm enterprise,Thailand,individual
please process a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,USA,enterprise
i need my money back for postpaid gold,refund,negative,mobile,postpaid gold,India,enterprise
isrefund possible for smart parking,refund,negative,iot,smart parking,India,individual
i want a refund for my smart traffic,refund,negative,iot,smart traffic,Singapore,enterprise
please process a refund for vm basic,refund,negative,cloud,vm basic,India,enterprise
can i get a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,USA,individual
can i get a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,USA,individual
please process a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,Singapore,individual
please process a refund for smart traffic,refund,negative,iot,smart traffic,Thailand,enterprise
can i get a refund for smart traffic,refund,negative,iot,smart traffic,Singapore,enterprise
is refund posisble for vm enterprise,refund,negative,cloud,vm enterprise,India,enterprise
is refund possible for smart parking,refund,negative,iot,smart parking,India,individual
can i get a refund for smart traffic,refund,negative,iot,smart traffic,USA,individual
please process a refund for prepaid unlimited,refund,negative,mobile,prepaid unlimited,Singapore,individual
i need my money back for fiber 1gbps,refund,negative,broadband,fiber 1gbps,Singapore,enterprise
